"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Smoke Tests","Logout process","0","0","1","0","0"
"","Smoke Tests","Login process","0","0","1","0","0"
"","Smoke Tests","Search process","0","0","1","0","0"
